name,voteCount,rating,address,cusine,cost,timing,lat,long
Nettare Cafe,Cuisines:,-,"86 B/1, Topsia Road, Topsia, Kolkata","Chinese, Finger Food",₹300,"11am – 7pm (Mon-Sat),Closed (Sun)",22.585808,88.366768
Red Onion,18 votes,3,"H751, Tagore Park, Near Laxmi Narayan Mandir, Kasba","Chinese, Finger Food",₹200,2pm – 10:30pm (Mon-Sun),22.522202,88.39426895
Bojangles,Cuisines:,-,"19/3, Dover Road, Ballygunge, Kolkata","Cafe, Chinese, North Indian","₹1,000",11am – 10:30pm (Mon-Sun),22.35827765,87.58253745
Pork Hut,Cuisines:,NEW,"44, Boldeo Para Road, Maniktala, Kolkata","Cafe, Chinese, North Indian",₹400,"12midnight – 4pm, 6pm – 12midnight (Mon-Sun)",22.5850379,88.3776911
Pork Hut,Cuisines:,NEW,"44, Boldeo Para Road, Maniktala, Kolkata","Biryani, Rolls",₹400,"12noon – 4pm, 6pm – 12:30am (Mon-Sun)",22.5850379,88.3776911
Habib's,Cuisines:,,"49A, Sada Nanda Road, Kalighat, Kolkata","North Indian, Chinese",₹150,,22.5173459,88.3450288
Eat & Meet,4 votes,3,"21, Girish Avenue, Shyam Bazar, Kolkata","North Indian, Chinese",₹300,12noon – 11pm (Mon-Sun),22.6038332,88.367727
The Peep Inn,Cuisines:,-,"34, Bama Charan Roy Road, Behala, Kolkata","South Indian, Fast Food",₹350,12noon – 11pm (Mon-Sun),22.4985847,88.3282969
Ashok Pan Shop,Cuisines:,-,"7, Old Ballygunge Road, Near Rajnick Lal Petrol Pump, Ballygunge, Kolkata","South Indian, Fast Food",₹100,11am – 11pm (Mon-Sun),22.5344712,88.36211425
Ching Chow,4 votes,3,"106, Opposite Santoshpur Avenue, Santoshpur, Kolkata","Bengali, Chinese",₹400,1pm – 12:30am (Mon-Sun),22.4916431,88.385414
Sananda Biryani,55 votes,3.4,"153, Garfa Main Road, Santoshpur, Kolkata","Bengali, Chinese",₹200,1pm – 12:30am (Mon-Sun),22.4978704,88.3799549
Annapurna Hotel,25 votes,3.3,"340, 7, Diamond Harbour Road, Roy Bahadur Road, Behala, Kolkata","North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",₹150,8:30am – 11:30pm (Mon-Sun),22.5021646,88.3179405
Wok Up,47 votes,3.2,"157, Jodhpur Park, Prince Anwar Shah Road, Kolkata","North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",₹500,6pm – 3am (Mon-Sun),22.50529395,88.3629427
New Royal Biryani Restaurant,Cuisines:,-,"21, Abhedananda Road, Beadon Street, Maniktala, Kolkata","South Indian, Fast Food, Beverages",₹600,12noon – 2am (Mon-Sun),22.5879483,88.3717015
Ffresh.Fit,Cuisines:,-,"House 9/14/1, Bijoygarh, Tollygunge, Kolkata","South Indian, Fast Food, Beverages",₹300,9am – 9pm (Mon-Sun),22.56693175,87.1962854
Ashik Fast Food,Cuisines:,-,"41, Dakshindari Road, Dum Dum, Kolkata",Cafe,₹250,11am – 11pm (Mon-Sun),22.5998144,88.4008232
Quick Pick,Cuisines:,NEW,"37/1A, Ramkrishna, Upanibesh, Jadavpur, Kolkata",Cafe,₹300,3pm – 10pm (Mon-Sun),22.54112765,87.81822045
Kishan Kanhaiya,Cuisines:,-,"67A, Diamond Harbour Road, Kidderpore, Kolkata","Chinese, Continental",₹100,10am – 9pm (Mon-Sun),22.533275,88.326995
New Raj Ballavi Sweets,Cuisines:,-,"Shop 5, FD Market, Sector 3, Salt Lake, Kolkata","Chinese, Continental",₹100,11am – 10pm (Mon-Sun),22.5821614,88.41924475
Ashu's Kitchen,Cuisines:,-,"103, Kalitala Main Road, North Purbachal, Kalikapur, Kolkata",Cafe,₹250,"7:30am – 2:30pm, 6pm – 10:30pm (Mon-Sun)",22.5063093,88.3986669
New Navin Sweets,Cuisines:,NEW,"108, Girindra Sekhar Bose Road, Ward 67, Kasba, Picnic Garden, Kolkata",Cafe,₹200,10am – 10pm (Mon-Sun),22.5264066,88.376877
